crop,state,date,avg_modal_price
black gram (urd beans)(whole),Gujarat,2023-07-31,7888.888888888889
black gram (urd beans)(whole),Gujarat,2023-08-31,7756.25
black gram (urd beans)(whole),Karnataka,2023-08-31,6655.5
black gram (urd beans)(whole),Kerala,2023-07-31,12966.666666666666
black gram (urd beans)(whole),Kerala,2023-08-31,12600.0
black gram (urd beans)(whole),Madhya Pradesh,2023-07-31,5050.0
black gram (urd beans)(whole),Madhya Pradesh,2023-08-31,6190.0
black gram (urd beans)(whole),Maharashtra,2023-07-31,9050.0
black gram (urd beans)(whole),Maharashtra,2023-08-31,7406.111111111111
black gram (urd beans)(whole),Odisha,2023-07-31,8000.0
black gram (urd beans)(whole),Odisha,2023-08-31,12000.0
black gram (urd beans)(whole),Rajasthan,2023-07-31,6633.333333333333
black gram (urd beans)(whole),Rajasthan,2023-08-31,6437.0
black gram (urd beans)(whole),Rajasthan,2025-05-31,6300.0
black gram (urd beans)(whole),Tamil Nadu,2023-07-31,7570.2
black gram (urd beans)(whole),Tamil Nadu,2023-08-31,7729.25
black gram (urd beans)(whole),Uttar Pradesh,2023-07-31,8322.5
black gram (urd beans)(whole),Uttar Pradesh,2023-08-31,8190.625
black gram dal (urd dal),Karnataka,2023-07-31,11900.0
black gram dal (urd dal),Karnataka,2023-08-31,11600.0
black gram dal (urd dal),Maharashtra,2023-07-31,10500.0
black gram dal (urd dal),Maharashtra,2023-08-31,10500.0
black gram dal (urd dal),Tamil Nadu,2023-07-31,7500.0
black gram dal (urd dal),Uttar Pradesh,2023-07-31,9341.022727272728
black gram dal (urd dal),Uttar Pradesh,2023-08-31,9300.8
black gram dal (urd dal),Uttar Pradesh,2025-05-31,10150.0
black gram dal (urd dal),West Bengal,2023-07-31,10275.0
black gram dal (urd dal),West Bengal,2023-08-31,9766.666666666666
black pepper,Karnataka,2023-07-31,52000.0
black pepper,Karnataka,2023-08-31,52600.2
black pepper,Kerala,2023-07-31,51058.82352941176
black pepper,Kerala,2023-08-31,52722.22222222222
black pepper,Kerala,2025-05-31,70125.0
black pepper,Maharashtra,2023-08-31,45000.0
bottle gourd,Andaman And Nicobar,2023-07-31,12000.0
bottle gourd,Chandigarh,2023-07-31,2133.3333333333335
bottle gourd,Chandigarh,2023-08-31,2200.0
bottle gourd,Chattisgarh,2023-07-31,1200.0
bottle gourd,Chattisgarh,2023-08-31,1100.0
bottle gourd,Gujarat,2023-07-31,2627.777777777778
bottle gourd,Gujarat,2023-08-31,2475.0
bottle gourd,Gujarat,2025-05-31,1250.0
bottle gourd,Haryana,2023-07-31,1547.6190476190477
bottle gourd,Haryana,2023-08-31,1471.0526315789473
bottle gourd,Haryana,2025-05-31,962.5
bottle gourd,Himachal Pradesh,2023-07-31,3020.3703703703704
bottle gourd,Himachal Pradesh,2023-08-31,2921.4285714285716
bottle gourd,Himachal Pradesh,2025-05-31,1583.3333333333333
bottle gourd,Jammu And Kashmir,2023-07-31,3775.0
bottle gourd,Jammu And Kashmir,2023-08-31,2000.0
bottle gourd,Jammu And Kashmir,2025-05-31,1175.0
bottle gourd,Karnataka,2023-08-31,1433.3333333333333
bottle gourd,Kerala,2023-07-31,2674.285714285714
bottle gourd,Kerala,2023-08-31,2721.875
bottle gourd,Kerala,2025-05-31,2183.3333333333335
bottle gourd,Madhya Pradesh,2023-07-31,1161.111111111111
bottle gourd,Madhya Pradesh,2023-08-31,1016.6666666666666
bottle gourd,Maharashtra,2023-07-31,1994.0
bottle gourd,Maharashtra,2023-08-31,2273.3333333333335
bottle gourd,Meghalaya,2023-07-31,3030.0
bottle gourd,Meghalaya,2023-08-31,2300.0
bottle gourd,Nagaland,2023-07-31,4475.714285714285
bottle gourd,Nagaland,2023-08-31,3500.0
bottle gourd,Nct Of Delhi,2023-07-31,1800.0
bottle gourd,Nct Of Delhi,2023-08-31,1500.0
bottle gourd,Odisha,2023-07-31,1433.3333333333333
bottle gourd,Odisha,2023-08-31,900.0
bottle gourd,Odisha,2025-05-31,1700.0
bottle gourd,Punjab,2023-07-31,2144.09375
bottle gourd,Punjab,2023-08-31,2008.0526315789473
bottle gourd,Punjab,2025-05-31,1028.75
bottle gourd,Rajasthan,2023-07-31,2111.1111111111113
bottle gourd,Rajasthan,2023-08-31,1650.0
bottle gourd,Rajasthan,2025-05-31,900.0
bottle gourd,Tamil Nadu,2023-07-31,460.0
bottle gourd,Telangana,2023-07-31,1937.5
bottle gourd,Telangana,2023-08-31,1590.909090909091
bottle gourd,Telangana,2025-05-31,700.0
bottle gourd,Uttar Pradesh,2023-07-31,1658.421052631579
bottle gourd,Uttar Pradesh,2023-08-31,1676.2903225806451
bottle gourd,Uttar Pradesh,2025-05-31,1014.7727272727273
bottle gourd,Uttrakhand,2023-07-31,1474.0384615384614
bottle gourd,Uttrakhand,2023-08-31,1770.0
bottle gourd,Uttrakhand,2025-05-31,983.3333333333334
brinjal,Andaman And Nicobar,2023-07-31,15000.0
brinjal,Bihar,2023-07-31,2600.0
brinjal,Bihar,2023-08-31,12300.0
brinjal,Chattisgarh,2023-07-31,2550.0
brinjal,Chattisgarh,2023-08-31,2550.0
brinjal,Gujarat,2023-07-31,3528.921568627451
brinjal,Gujarat,2023-08-31,3525.0
brinjal,Gujarat,2025-05-31,1921.4285714285713
brinjal,Haryana,2023-07-31,2258.3333333333335
brinjal,Haryana,2023-08-31,2360.714285714286
brinjal,Haryana,2025-05-31,1311.111111111111
brinjal,Himachal Pradesh,2023-07-31,4750.0
brinjal,Himachal Pradesh,2023-08-31,3754.1666666666665
brinjal,Himachal Pradesh,2025-05-31,2011.111111111111
brinjal,Jammu And Kashmir,2023-07-31,3475.0
brinjal,Jammu And Kashmir,2023-08-31,2600.0
brinjal,Jammu And Kashmir,2025-05-31,2250.0
brinjal,Karnataka,2023-07-31,1494.1176470588234
brinjal,Karnataka,2023-08-31,1992.3076923076924
brinjal,Kerala,2023-07-31,3318.0263157894738
brinjal,Kerala,2023-08-31,3280.5555555555557
brinjal,Kerala,2025-05-31,3000.0
brinjal,Madhya Pradesh,2023-07-31,1128.0
brinjal,Madhya Pradesh,2023-08-31,1316.6666666666667
brinjal,Maharashtra,2023-07-31,3308.823529411765
brinjal,Maharashtra,2023-08-31,3444.0833333333335
brinjal,Meghalaya,2023-07-31,4033.3333333333335
brinjal,Meghalaya,2023-08-31,23650.0
brinjal,Nagaland,2023-07-31,5720.0
brinjal,Nagaland,2023-08-31,5433.333333333333
brinjal,Nct Of Delhi,2023-07-31,2100.0
brinjal,Nct Of Delhi,2023-08-31,2500.0
brinjal,Odisha,2023-07-31,3718.9655172413795
brinjal,Odisha,2023-08-31,3707.2413793103447
brinjal,Odisha,2025-05-31,2805.0
brinjal,Punjab,2023-07-31,2768.3333333333335
brinjal,Punjab,2023-08-31,2570.3125
brinjal,Punjab,2025-05-31,1414.5454545454545
brinjal,Rajasthan,2023-07-31,2918.75
brinjal,Rajasthan,2023-08-31,2050.0
brinjal,Rajasthan,2025-05-31,1000.0
brinjal,Telangana,2023-07-31,3334.4827586206898
brinjal,Telangana,2023-08-31,3356.6666666666665
brinjal,Telangana,2025-05-31,1975.0
brinjal,Tripura,2023-07-31,2469.5652173913045
brinjal,Tripura,2023-08-31,2379.1666666666665
brinjal,Tripura,2025-05-31,2325.0
brinjal,Uttar Pradesh,2023-07-31,2103.0978260869565
brinjal,Uttar Pradesh,2023-08-31,2080.5113636363635
brinjal,Uttar Pradesh,2025-05-31,1163.090909090909
